時間,DD,MDD
2018-06-27,133775.01742102217,226825.87644471187
2018-06-28,124917.69715568816,226825.87644471187
2018-06-29,116690.32854622437,226825.87644471187
2018-07-02,107341.0460356055,226825.87644471187
2018-07-03,143864.24314623623,226825.87644471187
2018-07-04,132071.14818030118,226825.87644471187
2018-07-05,119628.10309367954,226825.87644471187
2018-07-06,120858.00870707793,226825.87644471187
2018-07-09,98847.69783849668,226825.87644471187
2018-07-10,98199.74756391924,226825.87644471187
2018-07-11,120540.03310942037,226825.87644471187
2018-07-12,127861.47124258823,226825.87644471187
2018-07-13,111852.69979912289,226825.87644471187
2018-07-16,124159.75532238578,226825.87644471187
2018-07-17,149389.81909829285,226825.87644471187
2018-07-18,139972.54180580837,226825.87644471187
2018-07-19,132281.1320657154,226825.87644471187
2018-07-20,144974.15796850147,226825.87644471187
2018-07-23,143558.266627841,226825.87644471187
2018-07-24,162902.78207680202,226825.87644471187
2018-07-25,165858.55524296442,226825.87644471187
2018-07-26,175557.81089569198,226825.87644471187
2018-07-27,169638.26517744068,226825.87644471187
2018-07-30,178601.57730853636,226825.87644471187
2018-07-31,191634.57712065047,226825.87644471187
2018-08-01,183187.22539336424,226825.87644471187
2018-08-02,187980.85751712474,226825.87644471187
2018-08-03,196104.2341073085,226825.87644471187
2018-08-06,162434.81798966927,226825.87644471187
2018-08-07,178965.549376389,226825.87644471187
2018-08-08,181299.37027260778,226825.87644471187
2018-08-09,173167.9942964975,226825.87644471187
2018-08-10,191528.5852548888,226825.87644471187
2018-08-13,182093.3093436971,226825.87644471187
2018-08-14,173215.99061317422,226825.87644471187
2018-08-15,126267.59356096468,226825.87644471187
2018-08-16,141328.4377509023,226825.87644471187
2018-08-17,119834.08728575801,226825.87644471187
2018-08-20,113264.59144682011,226825.87644471187
2018-08-21,114676.48309451735,226825.87644471187
2018-08-22,116294.35893429304,226825.87644471187
2018-08-23,134922.92932681102,226825.87644471187
2018-08-24,137322.74515841372,226825.87644471187
2018-08-27,149107.84073842227,226825.87644471187
2018-08-28,138352.66611955105,226825.87644471187
2018-08-29,156923.2409633566,226825.87644471187
2018-08-30,174389.9005243418,226825.87644471187
2018-08-31,196392.21200699653,226825.87644471187
2018-09-03,195228.3013286096,226825.87644471187
2018-09-04,189266.75883349893,226825.87644471187
2018-09-05,169324.28927311886,226825.87644471187
2018-09-06,180755.41201768292,226825.87644471187
2018-09-07,175505.814886052,226825.87644471187
2018-09-10,161340.90194000214,226825.87644471187
2018-09-11,145880.08844479738,226825.87644471187
2018-09-12,121643.94839224072,226825.87644471187
2018-09-13,126943.54168703003,226825.87644471187
2018-09-14,120997.99796414493,226825.87644471187
2018-09-17,121929.92644544711,226825.87644471187
2018-09-18,150109.76384807166,226825.87644471187
2018-09-19,142204.37052922868,226825.87644471187
2018-09-20,128525.42028939126,226825.87644471187
2018-09-21,147935.93067373626,226825.87644471187
2018-09-25,142764.32755675164,226825.87644471187
2018-09-26,170962.16357808345,226825.87644471187
2018-09-27,172250.06474093924,226825.87644471187
