時間,毛損益,淨損益,累積淨損益,交易成本,滑價,交易稅,平倉權益數,平倉交易K棒數,DD,MDD
2010-03-25 09:00:00,-3600.0,-4062.312,-87312.152,462.312,400,62.31200000000001,9912687.847999997,52,108329.4736723617,132297.26885492838
2010-04-13 09:00:00,58400.0,57936.608,-29375.544,463.3919999999989,400,63.391999999998916,9970624.455999997,241,45792.84541542751,132297.26885492838
2010-04-13 13:15:00,-14600.0,-15064.467999999999,-44440.012,464.4679999999994,400,64.46799999999939,9955559.987999996,10,65857.13973954611,132297.26885492838
2010-04-16 10:45:00,600.0,135.32399999999996,-44304.688,464.67600000000004,400,64.67600000000004,9955695.311999995,48,67321.53305076461,132297.26885492838
2010-04-19 09:00:00,-22400.0,-22864.48,-67169.168,464.48000000000036,400,64.48000000000036,9932830.831999995,8,73986.21958534539,132297.26885492838
2010-04-22 10:00:00,4000.0,3537.1279999999997,-63632.04000000001,462.8720000000001,400,62.87200000000013,9936367.959999995,41,91649.30967209354,132297.26885492838
2010-04-28 09:00:00,9000.0,8536.636,-55095.40400000001,463.364,400,63.363999999999976,9944904.595999995,74,43313.258606532785,132297.26885492838
2010-05-03 08:45:00,-18800.0,-19263.776,-74359.18000000001,463.77600000000143,400,63.77600000000143,9925640.819999995,54,86976.31083834375,132297.26885492838
2010-05-05 09:00:00,-42400.0,-42862.6,-117221.78,462.59999999999764,400,62.599999999997635,9882778.219999995,24,109839.31815542387,132297.26885492838
2010-05-06 12:15:00,-7000.0,-7460.86,-124682.64,460.85999999999956,400,60.85999999999956,9875317.359999996,1,142069.60675156332,142069.60675156332
2010-05-17 09:30:00,24200.0,23739.54,-100943.1,460.4600000000005,400,60.46000000000049,9899056.899999995,120,115160.9451674928,155360.2125274837
2010-05-17 13:45:00,3200.0,2739.256,-98203.84400000001,460.744,400,60.74400000000004,9901796.155999994,1,124991.23800830431,155360.2125274837
2010-05-24 09:00:00,68800.0,68340.648,-29863.19600000001,459.3520000000012,400,59.352000000001226,9970136.803999994,75,45483.79504789577,155360.2125274837
2010-05-24 12:45:00,1800.0,1341.5399999999997,-28521.65600000001,458.46000000000015,400,58.46000000000018,9971478.343999993,1,53112.6440105421,155360.2125274837
2010-05-25 10:00:00,-35800.0,-36257.716,-64779.37200000001,457.7159999999992,400,57.71599999999921,9935220.627999993,9,87199.69876672911,155360.2125274837
2010-05-25 13:45:00,-1400.0,-1856.4520000000002,-66635.82400000001,456.45200000000017,400,56.45200000000017,9933364.175999993,1,87228.19824733504,155360.2125274837
